gene_id	gene_biotype
ENSSSCG00000001498	protein_coding
ENSSSCG00000001499	protein_coding
ENSSSCG00000001500	protein_coding
ENSSSCG00000001501	protein_coding
ENSSSCG00000001502	protein_coding
ENSSSCG00000001503	protein_coding
ENSSSCG00000001504	protein_coding
ENSSSCG00000001505	protein_coding
ENSSSCG00000001506	protein_coding
ENSSSCG00000001507	protein_coding
ENSSSCG00000001509	protein_coding
ENSSSCG00000001510	protein_coding
ENSSSCG00000001511	protein_coding
ENSSSCG00000001512	protein_coding
ENSSSCG00000001513	protein_coding
ENSSSCG00000001516	protein_coding
ENSSSCG00000001517	protein_coding
ENSSSCG00000001518	protein_coding
ENSSSCG00000001520	protein_coding
ENSSSCG00000001521	protein_coding
ENSSSCG00000001523	protein_coding
ENSSSCG00000001527	protein_coding
ENSSSCG00000001531	protein_coding
ENSSSCG00000001532	protein_coding
ENSSSCG00000001533	protein_coding
ENSSSCG00000001534	protein_coding
ENSSSCG00000001535	protein_coding
ENSSSCG00000001536	protein_coding
ENSSSCG00000001537	protein_coding
ENSSSCG00000001538	protein_coding
ENSSSCG00000001539	protein_coding
ENSSSCG00000001543	protein_coding
ENSSSCG00000001544	protein_coding
ENSSSCG00000001546	protein_coding
ENSSSCG00000001549	protein_coding
ENSSSCG00000001550	protein_coding
ENSSSCG00000001551	protein_coding
ENSSSCG00000001552	protein_coding
ENSSSCG00000001553	protein_coding
ENSSSCG00000001554	protein_coding
ENSSSCG00000001555	protein_coding
ENSSSCG00000001556	protein_coding
ENSSSCG00000001559	protein_coding
ENSSSCG00000001560	protein_coding
ENSSSCG00000001561	protein_coding
ENSSSCG00000001562	protein_coding
ENSSSCG00000001563	protein_coding
ENSSSCG00000001564	protein_coding
ENSSSCG00000001565	protein_coding
ENSSSCG00000001566	protein_coding
ENSSSCG00000001567	protein_coding
ENSSSCG00000001570	protein_coding
ENSSSCG00000001571	protein_coding
ENSSSCG00000001572	protein_coding
ENSSSCG00000001573	protein_coding
ENSSSCG00000001574	protein_coding
